Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:59:17.614,target_decay,pistol,2.2s,4,1,0.25,25,200,0.125,false
2,01:59:20.028,target_decay,pistol,1.573s,3,1,0.333,25,150,0.167,false
3,01:59:20.841,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,01:59:24.736,target_decay,pistol,3.055s,5,1,0.2,25,250,0.1,false
5,01:59:28.734,target_decay,pistol,3.319s,6,1,0.167,25,300,0.083,false
6,01:59:29.472,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,01:59:32.613,target_decay,pistol,2.304s,4,1,0.25,25,200,0.125,false
8,01:59:34.108,target_decay,pistol,0.646s,2,1,0.5,25,100,0.25,false
9,01:59:36.514,target_decay,pistol,1.522s,3,1,0.333,25,150,0.167,false
10,01:59:38.895,target_decay,pistol,1.523s,3,1,0.333,25,150,0.167,false
11,01:59:42.146,target_decay,pistol,2.497s,4,1,0.25,25,200,0.125,false
12,01:59:48.664,target_decay,pistol,5.757s,8,1,0.125,25,400,0.062,false
13,01:59:51.909,target_decay,pistol,2.461s,4,1,0.25,25,200,0.125,false
14,02:00:04.816,target_decay,pistol,12.065s,16,1,0.062,25,800,0.031,false
15,02:00:08.709,target_decay,pistol,3.18s,5,1,0.2,25,250,0.1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,73,15,375.0,3650.0,

Kills:,15
Deaths:,0
Fight Time:,42.102001
Avg TTK:,4
Damage Done:,375.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,308.219177
Scenario:,Reflex Flick - Hard
Hash:,ab869e821fac336c103b8f85fae7f639
Game Version:,v2.7.0
Challenge Start:,01:55:57.570
Pause Count:,33
Pause Duration:,92

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,296.726379
Resolution Scale,100.0
