Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:58:12.910,target_decay,pistol,1.193s,2,1,0.5,25,100,0.25,false
2,01:58:17.782,target_decay,pistol,3.988s,7,1,0.143,25,350,0.071,false
3,01:58:26.731,target_decay,pistol,8.167s,12,1,0.083,25,600,0.042,false
4,01:58:29.181,target_decay,pistol,1.557s,4,1,0.25,25,200,0.125,false
5,01:58:31.635,target_decay,pistol,1.567s,3,1,0.333,25,150,0.167,false
6,01:58:32.412,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
7,01:58:51.055,target_decay,pistol,17.791s,22,1,0.045,25,1100,0.023,false
8,01:58:51.801,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,01:58:59.951,target_decay,pistol,7.376s,11,1,0.091,25,550,0.045,false
10,01:59:08.799,target_decay,pistol,7.986s,11,1,0.091,25,550,0.045,false
11,01:59:09.425,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
12,01:59:10.227,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,76,12,300.0,3800.0,

Kills:,12
Deaths:,0
Fight Time:,49.626999
Avg TTK:,5
Damage Done:,300.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,189.473679
Scenario:,Reflex Flick - Hard
Hash:,ab869e821fac336c103b8f85fae7f639
Game Version:,v2.7.0
Challenge Start:,01:55:57.570
Pause Count:,33
Pause Duration:,92

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,296.626221
Resolution Scale,100.0
