Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:30:17.028,Pigeon2,pistol,0s,1,1,1,100,200,0.5,false
2,01:30:19.529,Pigeon,pistol,1.452s,2,1,0.5,100,400,0.25,false
3,01:30:28.902,Pigeon2,pistol,7.243s,6,1,0.167,100,1200,0.083,false
4,01:30:33.648,Pigeon3,pistol,3.07s,3,1,0.333,100,600,0.167,false
5,01:30:36.094,Pigeon3,pistol,0.001s,1,1,1,100,200,0.5,false
6,01:30:38.908,Pigeon4,pistol,1.746s,2,1,0.5,100,400,0.25,false
7,01:30:39.966,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
8,01:30:44.613,Pigeon5,pistol,3.561s,3,1,0.333,100,600,0.167,false
9,01:30:45.496,Pigeon5,pistol,0s,1,1,1,100,200,0.5,false
10,01:30:46.570,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
11,01:30:47.651,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
12,01:30:48.917,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
13,01:30:51.426,Pigeon2,pistol,0s,1,1,1,100,200,0.5,false
14,01:30:54.974,Pigeon5,pistol,0s,1,1,1,100,200,0.5,false
15,01:30:56.218,Pigeon5,pistol,0s,1,1,1,100,200,0.5,false
16,01:31:04.146,Pigeon2,pistol,5.454s,5,1,0.2,100,1000,0.1,false
17,01:31:07.317,Pigeon3,pistol,1.711s,2,1,0.5,100,400,0.25,false
18,01:31:09.532,Pigeon,pistol,1.215s,2,1,0.5,100,400,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,39,18,1800.0,7800.0,

Kills:,18
Deaths:,0
Fight Time:,25.452999
Avg TTK:,3.328
Damage Done:,1800.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,21
Distance Traveled:,0.0
Score:,180.0
Scenario:,Popcorn Voltaic
Hash:,62908ae6f6639742639b12843d402799
Game Version:,v2.8.5
Challenge Start:,01:30:16.017
Pause Count:,10
Pause Duration:,38

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,296.960327
Resolution Scale,100.0
