Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:51:35.307,Pigeon3,pistol,7.938s,6,1,0.167,100,1200,0.083,false
2,12:51:42.149,Pigeon4,pistol,5.143s,4,1,0.25,100,800,0.125,false
3,12:51:44.244,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
4,12:51:48.408,Pigeon,pistol,2.297s,2,1,0.5,100,400,0.25,false
5,12:51:51.967,Pigeon2,pistol,1.711s,2,1,0.5,100,400,0.25,false
6,12:51:55.355,Pigeon2,pistol,1.634s,2,1,0.5,100,400,0.25,false
7,12:52:28.989,Pigeon3,pistol,29.447s,11,1,0.091,100,2200,0.045,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,29,7,700.0,5800.0,

Kills:,7
Deaths:,0
Fight Time:,48.169998
Avg TTK:,8.571
Damage Done:,700.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,22
Distance Traveled:,0.0
Score:,70.0
Scenario:,Popcorn Voltaic
Hash:,62908ae6f6639742639b12843d402799
Game Version:,v2.8.2
Challenge Start:,12:52:20.429
Pause Count:,12
Pause Duration:,144

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.021973
Resolution Scale,100.0
