Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:43:06.735,Pigeon3,pistol,1.431s,2,1,0.5,100,400,0.25,false
2,18:43:17.064,Pigeon4,pistol,9.262s,6,1,0.167,100,1200,0.083,false
3,18:43:18.852,Pigeon2,pistol,0s,1,1,1,100,200,0.5,false
4,18:43:32.566,Pigeon4,pistol,11.288s,7,1,0.143,100,1400,0.071,false
5,18:43:34.035,Pigeon5,pistol,0s,1,1,1,100,200,0.5,false
6,18:43:39.534,Pigeon,pistol,3.23s,3,1,0.333,100,600,0.167,false
7,18:43:47.523,Pigeon3,pistol,6.769s,6,1,0.167,100,1200,0.083,false
8,18:43:51.586,Pigeon2,pistol,2.712s,3,1,0.333,100,600,0.167,false
9,18:43:54.438,Pigeon4,pistol,1.548s,2,1,0.5,100,400,0.25,false
10,18:43:56.096,Pigeon3,pistol,0s,1,1,1,100,200,0.5,false
11,18:44:00.698,Pigeon5,pistol,1.556s,2,1,0.5,100,400,0.25,false
12,18:44:03.011,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,35,12,1200.0,7000.0,

Kills:,12
Deaths:,0
Fight Time:,37.796001
Avg TTK:,0
Damage Done:,1200.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,23
Distance Traveled:,0.0
Score:,120.0
Scenario:,Popcorn Voltaic
Hash:,62908ae6f6639742639b12843d402799
Game Version:,v2.6.1
Challenge Start:,18:43:04.033
Pause Count:,13
Pause Duration:,73

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,296.796173
Resolution Scale,100.0
