Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:34:35.815,regen_dot,Poke-Drill,1.885s,190,85,0.447,85,190,0.447,false
2,00:34:37.611,regen_dot,Poke-Drill,1.546s,112,74,0.661,74,112,0.661,false
3,00:34:39.295,regen_dot,Poke-Drill,1.445s,91,65,0.714,65,91,0.714,false
4,00:34:40.697,regen_dot,Poke-Drill,0.709s,72,52,0.722,52,72,0.722,false
5,00:34:42.225,regen_dot,Poke-Drill,0.818s,83,60,0.723,60,83,0.723,false
6,00:34:46.847,regen_dot,Poke-Drill,3.878s,389,208,0.535,208,389,0.535,false
7,00:34:49.229,regen_dot,Poke-Drill,2.139s,120,68,0.567,68,120,0.567,false
8,00:34:51.891,regen_dot,Poke-Drill,2.137s,215,111,0.516,111,215,0.516,false
9,00:34:54.753,regen_dot,Poke-Drill,2.126s,214,126,0.589,126,214,0.589,false
10,00:34:56.315,regen_dot,Poke-Drill,1.027s,104,70,0.673,70,104,0.673,false
11,00:35:00.322,regen_dot,Poke-Drill,3.755s,332,200,0.602,200,332,0.602,false
12,00:35:01.930,regen_dot,Poke-Drill,1.048s,106,72,0.679,72,106,0.679,false
13,00:35:04.300,regen_dot,Poke-Drill,2.11s,141,80,0.567,80,141,0.567,false
14,00:35:06.213,regen_dot,Poke-Drill,1.655s,76,60,0.789,60,76,0.789,false
15,00:35:07.958,regen_dot,Poke-Drill,1.098s,111,91,0.82,91,111,0.82,false
16,00:35:14.364,regen_dot,Poke-Drill,5.937s,595,297,0.499,297,595,0.499,false
17,00:35:16.404,regen_dot,Poke-Drill,1.783s,147,100,0.68,100,147,0.68,false
18,00:35:17.845,regen_dot,Poke-Drill,1.19s,82,61,0.744,61,82,0.744,false
19,00:35:19.186,regen_dot,Poke-Drill,1.092s,73,50,0.685,50,73,0.685,false
20,00:35:21.852,regen_dot,Poke-Drill,2.412s,213,101,0.474,101,213,0.474,false
21,00:35:24.014,regen_dot,Poke-Drill,1.911s,146,63,0.432,63,146,0.432,false
22,00:35:28.676,regen_dot,Poke-Drill,4.402s,397,223,0.562,223,397,0.562,false
23,00:35:29.757,regen_dot,Poke-Drill,0.822s,53,50,0.943,50,53,0.943,false
24,00:35:31.803,regen_dot,Poke-Drill,1.79s,95,65,0.684,65,95,0.684,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,4234,2485,2485.0,4234.0,

Kills:,24
Deaths:,0
Fight Time:,48.715
Avg TTK:,2.504
Damage Done:,2485.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,24.0
Scenario:,tamTargetSwitch Smooth
Hash:,ebaed4d804f7bb0b1fa3961826398e1f
Game Version:,v2.7.0
Challenge Start:,00:33:26.190
Pause Count:,22
Pause Duration:,349

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,288.167175
Resolution Scale,100.0
