Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:49:48.608,Pigeon2,pistol,5.355s,4,1,0.25,100,800,0.125,false
2,21:49:52.209,Pigeon,pistol,2.253s,2,1,0.5,100,400,0.25,false
3,21:50:11.081,Pigeon3,pistol,16.424s,5,1,0.2,100,1000,0.1,false
4,21:50:14.314,Pigeon3,pistol,0s,1,1,1,100,200,0.5,false
5,21:50:18.206,Pigeon4,pistol,1.213s,2,1,0.5,100,400,0.25,false
6,21:50:19.571,Pigeon5,pistol,0s,1,1,1,100,200,0.5,false
7,21:50:21.271,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
8,21:50:22.359,Pigeon5,pistol,0.001s,1,1,1,100,200,0.5,false
9,21:50:25.031,Pigeon,pistol,1.308s,2,1,0.5,100,400,0.25,false
10,21:50:36.911,Pigeon,pistol,10.582s,7,1,0.143,100,1400,0.071,false
11,21:50:38.697,Pigeon2,pistol,0s,1,1,1,100,200,0.5,false
12,21:50:39.688,Pigeon2,pistol,0s,1,1,1,100,200,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,29,12,1200.0,5800.0,

Kills:,12
Deaths:,0
Fight Time:,37.136002
Avg TTK:,0
Damage Done:,1200.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,17
Distance Traveled:,0.0
Score:,120.0
Scenario:,Popcorn Voltaic
Hash:,62908ae6f6639742639b12843d402799
Game Version:,2.0.5.0
Challenge Start:,21:49:42.117
Pause Count:,11
Pause Duration:,470

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,0.6
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,288.430206
Resolution Scale,100.0
