Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:01:33.225,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
2,02:01:54.209,Pigeon5,pistol,19.564s,13,1,0.077,100,2600,0.038,false
3,02:02:02.122,Pigeon2,pistol,6.714s,5,1,0.2,100,1000,0.1,false
4,02:02:03.624,Pigeon3,pistol,0s,1,1,1,100,200,0.5,false
5,02:02:07.293,Pigeon5,pistol,1.984s,2,1,0.5,100,400,0.25,false
6,02:02:11.674,Pigeon,pistol,2.984s,3,1,0.333,100,600,0.167,false
7,02:02:19.687,Pigeon2,pistol,7.192s,6,1,0.167,100,1200,0.083,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,38,7,700.0,7600.0,

Kills:,7
Deaths:,0
Fight Time:,38.438
Avg TTK:,0
Damage Done:,700.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,31
Distance Traveled:,0.0
Score:,70.0
Scenario:,Popcorn Voltaic
Hash:,62908ae6f6639742639b12843d402799
Game Version:,v2.6.3
Challenge Start:,02:01:31.793
Pause Count:,9
Pause Duration:,154

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.782593
Resolution Scale,100.0
