Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:22:33.961,Watcher Bot Long Strafes,pistol,11.345s,12,2,0.167,800,4800,0.167,false
2,21:22:36.436,Watcher Bot Long Strafes,pistol,2.023s,6,2,0.333,800,2400,0.333,false
3,21:22:38.802,Watcher Bot Long Strafes,pistol,1.495s,6,2,0.333,800,2400,0.333,false
4,21:22:45.449,Watcher Bot Long Strafes,pistol,6.083s,13,3,0.231,1200,5200,0.231,false
5,21:22:46.675,Watcher Bot Long Strafes,pistol,0.858s,4,1,0.25,400,1600,0.25,false
6,21:22:49.313,Watcher Bot Long Strafes,pistol,2.23s,6,2,0.333,800,2400,0.333,false
7,21:22:53.520,Watcher Bot Long Strafes,pistol,3.833s,9,2,0.222,600,3600,0.167,false
8,21:22:55.946,Watcher Bot Long Strafes,pistol,1.825s,7,2,0.286,800,2800,0.286,false
9,21:22:57.755,Watcher Bot Long Strafes,pistol,1.055s,4,2,0.5,800,1600,0.5,false
10,21:23:00.170,Watcher Bot Long Strafes,pistol,1.685s,5,2,0.4,800,2000,0.4,false
11,21:23:02.088,Watcher Bot Long Strafes,pistol,1.524s,5,2,0.4,600,2000,0.3,false
12,21:23:03.538,Watcher Bot Long Strafes,pistol,0.955s,4,2,0.5,600,1600,0.375,false
13,21:23:06.185,Watcher Bot Long Strafes,pistol,2.234s,7,2,0.286,800,2800,0.286,false
14,21:23:07.223,Watcher Bot Long Strafes,pistol,0.653s,3,2,0.667,800,1200,0.667,false
15,21:23:14.254,Watcher Bot Long Strafes,pistol,6.587s,14,2,0.143,800,5600,0.143,false
16,21:23:15.911,Watcher Bot Long Strafes,pistol,0.771s,3,2,0.667,800,1200,0.667,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,116,32,12200.0,46400.0,

Kills:,16
Deaths:,1
Fight Time:,45.155998
Avg TTK:,0
Damage Done:,12200.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,19872.316406
Score:,100744.632813
Scenario:,Pistol Strafe Gallery Small
Hash:,aa2c9f835e32f48136aaf900b8ac692f
Game Version:,2.0.4.0
Challenge Start:,21:22:21.320

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,0.6
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.325195
Resolution Scale,100.0
