Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:51:21:207,Quaker Bot Hard,LG,10.535s,230,50,0.217,300,1380,0.217,false
2,00:51:32:174,Quaker Bot Hard,LG,10.685s,138,50,0.362,300,828,0.362,false
3,00:51:41:446,Quaker Bot Hard,LG,8.998s,152,50,0.329,300,912,0.329,false
4,00:51:52:942,Quaker Bot Hard,LG,11.218s,198,50,0.253,300,1188,0.253,false
5,00:52:02:110,Quaker Bot Hard,LG,8.895s,146,50,0.342,300,876,0.342,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,985,281,1686.0,5910.0,

Kills:,5
Deaths:,0
Fight Time:,50.331001
Avg TTK:,10.066
Damage Done:,1686.0
Damage Taken:,2448.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,6494.043457
Score:,1093.760376
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,150.0
Sens Scale:,Quake/Source
Horiz Sens:,2.0
Vert Sens:,2.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
