Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:29:10:998,Pigeon2,pistol,0s,1,1,1,100,200,0.5,false
2,23:29:13:463,Pigeon4,pistol,1.334s,2,1,0.5,100,400,0.25,false
3,23:29:16:131,Pigeon5,pistol,1.473s,2,1,0.5,100,400,0.25,false
4,23:29:19:684,Pigeon3,pistol,2.273s,2,1,0.5,100,400,0.25,false
5,23:29:31:512,Pigeon2,pistol,10.061s,6,1,0.167,100,1200,0.083,false
6,23:29:46:099,Pigeon4,pistol,11.691s,7,1,0.143,100,1400,0.071,false
7,23:30:00:657,Pigeon2,pistol,13.097s,7,1,0.143,100,1400,0.071,false
8,23:30:03:123,Pigeon,pistol,0s,1,1,1,100,200,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,31,8,800.0,6200.0,

Kills:,8
Deaths:,0
Fight Time:,39.929001
Avg TTK:,4.991
Damage Done:,800.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,80.0
Scenario:,Popcorn Sparky
Hash:,49dbf5ac7aeb2cf0c06533f2384ff4de
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,216.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
