Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:06:01:310,air_close_short,LG,14.758s,1477,553,0.374,721.112,1925.981,0.374,false
2,23:06:16:470,air1_far_short,LG,13.804s,1382,553,0.4,721.112,1802.105,0.4,false
3,23:06:45:907,Bot Profile,LG,29.177s,2783,553,0.199,721.112,3628.946,0.199,false
4,23:07:01:335,air1F_close_long,LG,15.176s,1401,553,0.395,721.112,1826.88,0.395,false
5,23:07:14:030,air1F_far_long,LG,12.435s,1134,553,0.488,721.112,1478.724,0.488,false
6,23:07:39:845,air1F_close_short,LG,25.554s,2503,553,0.221,721.112,3263.839,0.221,false
7,23:07:58:930,air1F_far_short,LG,18.832s,1824,553,0.303,721.112,2378.453,0.303,false
8,23:08:25:828,air1_UFO,LG,26.878s,2549,553,0.217,721.112,3323.821,0.217,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,15054,4425,5770.353516,19630.833984,

Kills:,8
Deaths:,0
Fight Time:,156.613998
Avg TTK:,19.577
Damage Done:,5770.353516
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,839.286987
Scenario:,Ground Plaza Easy
Hash:,9e1dbc9b183966e69b73aca2836c8165
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,150.0
Sens Scale:,Quake/Source
Horiz Sens:,2.0
Vert Sens:,2.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
