Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:40:41:683,Racer Bot,Six Shooter,20.225s,17,3,0.176,350,2380,0.147,false
2,20:40:48:600,McCoy Bot,Six Shooter,4.576s,7,2,0.286,210,980,0.214,false
3,20:41:02:326,McCoy Bot,Six Shooter,11.137s,13,2,0.154,210,1820,0.115,false
4,20:41:17:930,Sergeant Bot,Six Shooter,12.966s,18,2,0.111,280,2520,0.111,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Six Shooter,55,9,1050.0,7700.0,

Kills:,4
Deaths:,0
Fight Time:,48.903999
Avg TTK:,12.226
Damage Done:,1050.0
Damage Taken:,1804.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,1
Distance Traveled:,25537.322266
Score:,1050.0
Scenario:,McCoy 1v1
Hash:,53b5a557e84b9015e3e483d58b3d2801
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,160.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
