Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,13:27:36:343,Pigeon,LG,4.521s,87,33,0.379,198,522,0.379,false
2,13:27:38:756,Pigeon,LG,2.167s,48,17,0.354,102,288,0.354,false
3,13:27:41:022,Pigeon,LG,1.65s,37,17,0.459,102,222,0.459,false
4,13:27:42:068,Pigeon,LG,0s,1,1,1,6,6,1,false
5,13:27:44:670,Pigeon,LG,2.341s,52,17,0.327,102,312,0.327,false
6,13:27:46:985,Pigeon,LG,1.652s,37,17,0.459,102,222,0.459,false
7,13:27:49:214,Pigeon,LG,1.608s,36,17,0.472,102,216,0.472,false
8,13:27:52:934,Pigeon,LG,2.941s,65,17,0.262,102,390,0.262,false
9,13:27:55:142,Pigeon,LG,1.56s,35,17,0.486,102,210,0.486,false
10,13:27:57:162,Pigeon,LG,1.373s,31,17,0.548,102,186,0.548,false
11,13:27:59:416,Pigeon,LG,1.881s,42,17,0.405,102,252,0.405,false
12,13:28:03:118,Pigeon,LG,3.08s,68,17,0.25,102,408,0.25,false
13,13:28:05:227,Pigeon,LG,1.559s,35,17,0.486,102,210,0.486,false
14,13:28:07:934,Pigeon,LG,2.16s,48,17,0.354,102,288,0.354,false
15,13:28:10:528,Pigeon,LG,1.88s,42,17,0.405,102,252,0.405,false
16,13:28:13:404,Pigeon,LG,2.436s,54,17,0.315,102,324,0.315,false
17,13:28:15:865,Pigeon,LG,1.546s,32,17,0.531,102,192,0.531,false
18,13:28:17:711,Pigeon,LG,1.467s,33,17,0.515,102,198,0.515,false
19,13:28:20:433,Pigeon,LG,1.788s,40,17,0.425,102,240,0.425,false
20,13:28:24:308,Pigeon,LG,3.081s,62,17,0.274,102,372,0.274,false
21,13:28:26:782,Pigeon,LG,1.699s,38,17,0.447,102,228,0.447,false
22,13:28:29:197,Pigeon,LG,2.02s,45,17,0.378,102,270,0.378,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1001,380,2280.0,6006.0,

Kills:,22
Deaths:,0
Fight Time:,44.410999
Avg TTK:,2.019
Damage Done:,2280.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2280.0
Scenario:,LG Pin Practice 360
Hash:,1bd8936343724d18465795b9d93c8ac1
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,150.0
Sens Scale:,Quake/Source
Horiz Sens:,2.0
Vert Sens:,2.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
