Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:50:52.989,Pigeon2,pistol,3.939s,3,1,0.333,100,600,0.167,false
2,21:50:54.419,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
3,21:51:07.411,Pigeon3,pistol,11.615s,8,1,0.125,100,1600,0.062,false
4,21:51:08.679,Pigeon5,pistol,0.001s,1,1,1,100,200,0.5,false
5,21:51:10.235,Pigeon3,pistol,0s,1,1,1,100,200,0.5,false
6,21:51:14.526,Pigeon4,pistol,1.856s,2,1,0.5,100,400,0.25,false
7,21:51:19.770,Pigeon,pistol,3.47s,3,1,0.333,100,600,0.167,false
8,21:51:31.812,Pigeon2,pistol,9.746s,7,1,0.143,100,1400,0.071,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,35,8,800.0,7000.0,

Kills:,8
Deaths:,0
Fight Time:,30.627001
Avg TTK:,0
Damage Done:,800.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,27
Distance Traveled:,0.0
Score:,80.0
Scenario:,Popcorn Voltaic
Hash:,62908ae6f6639742639b12843d402799
Game Version:,2.0.5.0
Challenge Start:,21:50:47.918
Pause Count:,12
Pause Duration:,471

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,0.6
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,287.38205
Resolution Scale,100.0
