Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:07:02.621,Thin very long strafe,Track Master 100,8.138s,815,200,0.245,200,815,0.245,false
2,19:07:13.597,Thin very long strafe,Track Master 100,10.726s,925,200,0.216,200,925,0.216,false
3,19:07:24.715,Thin very long strafe,Track Master 100,10.866s,831,200,0.241,200,831,0.241,false
4,19:07:34.471,Thin very long strafe,Track Master 100,9.504s,785,200,0.255,200,785,0.255,false
5,19:07:44.730,Thin very long strafe,Track Master 100,10.002s,803,200,0.249,200,803,0.249,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,4698,1111,1111.0,4698.0,

Kills:,5
Deaths:,0
Fight Time:,49.236
Avg TTK:,0
Damage Done:,1111.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,1111.0
Scenario:,Thin Aiming Long
Hash:,3a5aabeed03bd10e4d437104ff1b425b
Game Version:,2.0.5.3
Challenge Start:,19:06:52.391
Pause Count:,1
Pause Duration:,67

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,0.6
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.883362
Resolution Scale,100.0
