Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,04:21:04.787,invasion,pistol HS,0.57s,2,1,0.5,25,50,0.5,false
2,04:21:09.153,invasion,pistol HS,3.698s,12,2,0.167,30,300,0.1,false
3,04:21:10.794,invasion,pistol HS,0.883s,4,2,0.5,30,100,0.3,false
4,04:21:13.493,invasion,pistol HS,2.067s,7,3,0.429,35,175,0.2,false
5,04:21:14.322,invasion,pistol HS,0s,1,1,1,25,25,1,false
6,04:21:14.859,invasion,pistol HS,0s,1,1,1,25,25,1,false
7,04:21:16.744,invasion,pistol HS,1.385s,5,1,0.2,25,125,0.2,false
8,04:21:19.605,invasion,pistol HS,2.441s,7,2,0.286,30,175,0.171,false
9,04:21:23.407,invasion,pistol HS,3.081s,10,2,0.2,30,250,0.12,false
10,04:21:30.164,invasion,pistol HS,6.156s,13,1,0.077,25,325,0.077,false
11,04:21:33.906,invasion,pistol HS,3.092s,8,1,0.125,25,200,0.125,false
12,04:21:35.245,invasion,pistol HS,0.779s,4,1,0.25,25,100,0.25,false
13,04:21:35.731,invasion,pistol HS,0s,1,1,1,25,25,1,false
14,04:21:38.822,invasion,pistol HS,2.098s,7,2,0.286,30,175,0.171,false
15,04:21:40.658,invasion,pistol HS,1.185s,4,1,0.25,25,100,0.25,false
16,04:21:41.606,invasion,pistol HS,0.627s,3,1,0.333,25,75,0.333,false
17,04:21:42.841,invasion,pistol HS,0.502s,2,1,0.5,25,50,0.5,false
18,04:21:44.754,invasion,pistol HS,0.42s,2,1,0.5,25,50,0.5,false
19,04:21:45.153,invasion,pistol HS,0s,1,1,1,25,25,1,false
20,04:21:46.110,invasion,pistol HS,0s,1,1,1,25,25,1,false
21,04:21:48.328,invasion,pistol HS,1.326s,5,1,0.2,25,125,0.2,false
22,04:21:50.852,invasion,pistol HS,1.564s,4,1,0.25,25,100,0.25,false
23,04:21:52.366,invasion,pistol HS,0.924s,2,1,0.5,25,50,0.5,false
24,04:21:53.047,invasion,pistol HS,0s,1,1,1,25,25,1,false
25,04:21:55.689,invasion,pistol HS,1.695s,6,1,0.167,25,150,0.167,false
26,04:21:56.746,invasion,pistol HS,0.581s,3,2,0.667,30,75,0.4,false
27,04:21:58.646,invasion,pistol HS,0.514s,2,1,0.5,25,50,0.5,false
28,04:22:00.066,invasion,pistol HS,0.396s,2,1,0.5,25,50,0.5,false
29,04:22:02.109,invasion,pistol HS,1.587s,4,2,0.5,30,100,0.3,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol HS,125,38,770.0,3125.0,

Kills:,29
Deaths:,0
Fight Time:,37.570999
Avg TTK:,0
Damage Done:,770.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,1258.559937
Scenario:,Invasion Clicking
Hash:,9dbd55728461255381787dbbc7b0ee94
Game Version:,2.0.5.3
Challenge Start:,04:21:03.151
Pause Count:,50
Pause Duration:,376

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.844025
Resolution Scale,100.0
