Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:21:26.681,air_close_short,Track Master 100,36.277s,3622,1000,0.276,1000,3622,0.276,false
2,22:21:59.590,air1_far_short,Track Master 100,32.672s,3094,1000,0.323,1000,3094,0.323,false
3,22:22:38.428,air1F_close_short,Track Master 100,36.819s,3683,1000,0.272,1000,3683,0.272,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,11294,3244,3244.0,11294.0,

Kills:,3
Deaths:,0
Fight Time:,105.767998
Avg TTK:,0
Damage Done:,3244.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,0.0
Scenario:,Air Dodge 3478
Hash:,61197822bcf721bc74c1a67df8a0f3b2
Game Version:,2.0.4.0
Challenge Start:,22:20:49.512

Input Lag:,0
Max FPS (config):,160.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,159.824875
Resolution Scale,100.0
