Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:49:48.491,Pigeon5,pistol,4.671s,8,1,0.125,100,1600,0.062,false
2,18:49:54.455,Pigeon5,pistol,5.269s,10,1,0.1,100,2000,0.05,false
3,18:49:56.781,Pigeon3,pistol,2.229s,6,1,0.167,100,1200,0.083,false
4,18:49:59.935,Pigeon5,pistol,1.767s,5,1,0.2,100,1000,0.1,false
5,18:50:00.763,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
6,18:50:03.818,Pigeon,pistol,1.603s,5,1,0.2,100,1000,0.1,false
7,18:50:07.753,Pigeon,pistol,0.251s,2,1,0.5,100,400,0.25,false
8,18:50:17.681,Pigeon3,pistol,9.112s,14,1,0.071,100,2800,0.036,false
9,18:50:26.582,Pigeon5,pistol,8.412s,13,1,0.077,100,2600,0.038,false
10,18:50:31.010,Pigeon3,pistol,2.977s,5,1,0.2,100,1000,0.1,false
11,18:50:38.650,Pigeon5,pistol,6.657s,12,1,0.083,100,2400,0.042,false
12,18:50:40.245,Pigeon3,pistol,0s,1,1,1,100,200,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,84,12,1200.0,16800.0,
LG,0,0,0.0,0.0,

Kills:,12
Deaths:,0
Fight Time:,42.948002
Avg TTK:,0
Damage Done:,1200.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,188.571442
Scenario:,POPCORN
Hash:,21f0bc5b7d01c9cc8a25f4e5a195770b
Game Version:,2.0.5.3
Challenge Start:,18:49:42.182
Pause Count:,8
Pause Duration:,32

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,0.6
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.692902
Resolution Scale,100.0
