Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:47:25.471,Pigeon,pistol,1.615s,3,1,0.333,100,600,0.167,false
2,18:47:27.378,Pigeon4,pistol,0.303s,2,1,0.5,100,400,0.25,false
3,18:47:30.130,Pigeon4,pistol,1.077s,2,1,0.5,100,400,0.25,false
4,18:47:33.065,Pigeon4,pistol,1.449s,3,1,0.333,100,600,0.167,false
5,18:47:34.890,Pigeon2,pistol,0.332s,2,1,0.5,100,400,0.25,false
6,18:47:38.643,Pigeon5,pistol,2.596s,4,1,0.25,100,800,0.125,false
7,18:47:48.461,Pigeon3,pistol,8.997s,14,1,0.071,100,2800,0.036,false
8,18:47:50.563,Pigeon5,pistol,0.678s,3,1,0.333,100,600,0.167,false
9,18:47:52.917,Pigeon3,pistol,1.213s,4,1,0.25,100,800,0.125,false
10,18:47:55.535,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
11,18:48:01.539,Pigeon5,pistol,5.402s,12,1,0.083,100,2400,0.042,false
12,18:48:03.235,Pigeon3,pistol,0s,1,1,1,100,200,0.5,false
13,18:48:05.132,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
14,18:48:11.147,Pigeon3,pistol,5.216s,8,1,0.125,100,1600,0.062,false
15,18:48:15.319,Pigeon4,pistol,1.47s,3,1,0.333,100,600,0.167,false
16,18:48:17.176,Pigeon3,pistol,0s,1,1,1,100,200,0.5,false
17,18:48:21.243,Pigeon,pistol,2.513s,4,1,0.25,100,800,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,69,17,1700.0,13800.0,
LG,0,0,0.0,0.0,

Kills:,17
Deaths:,0
Fight Time:,32.861
Avg TTK:,0
Damage Done:,1700.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,460.72464
Scenario:,POPCORN
Hash:,21f0bc5b7d01c9cc8a25f4e5a195770b
Game Version:,2.0.5.3
Challenge Start:,18:47:22.304
Pause Count:,6
Pause Duration:,30

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,0.6
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.62915
Resolution Scale,100.0
