Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:02:50.786,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
2,22:02:59.821,Pigeon5,pistol,7.821s,11,1,0.091,100,2200,0.045,false
3,22:03:04.779,Pigeon4,pistol,4.478s,5,1,0.2,100,1000,0.1,false
4,22:03:09.473,Pigeon4,pistol,3.548s,4,1,0.25,100,800,0.125,false
5,22:03:11.026,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
6,22:03:13.084,Pigeon3,pistol,0.605s,2,1,0.5,100,400,0.25,false
7,22:03:21.847,Pigeon3,pistol,7.928s,8,1,0.125,100,1600,0.062,false
8,22:03:23.980,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
9,22:03:26.374,Pigeon4,pistol,1.081s,2,1,0.5,100,400,0.25,false
10,22:03:37.346,Pigeon5,pistol,9.985s,9,1,0.111,100,1800,0.056,false
11,22:03:43.592,Pigeon,pistol,5.499s,6,1,0.167,100,1200,0.083,false
12,22:03:47.349,Pigeon2,pistol,2.527s,3,1,0.333,100,600,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,55,12,1200.0,11000.0,
LG,0,0,0.0,0.0,

Kills:,12
Deaths:,0
Fight Time:,43.472
Avg TTK:,0
Damage Done:,1200.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,288.0
Scenario:,POPCORN
Hash:,21f0bc5b7d01c9cc8a25f4e5a195770b
Game Version:,2.0.5.3
Challenge Start:,22:02:49.679
Pause Count:,28
Pause Duration:,73

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.783203
Resolution Scale,100.0
