Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:30:53.016,Pigeon4,pistol,1.877s,2,1,0.5,100,400,0.25,false
2,00:31:02.984,Pigeon5,pistol,8.224s,6,1,0.167,100,1200,0.083,false
3,00:31:20.778,Pigeon,pistol,17.148s,12,1,0.083,100,2400,0.042,false
4,00:31:25.335,Pigeon3,pistol,3.214s,3,1,0.333,100,600,0.167,false
5,00:31:29.486,Pigeon5,pistol,2.321s,2,1,0.5,100,400,0.25,false
6,00:31:32.555,Pigeon,pistol,1.849s,2,1,0.5,100,400,0.25,false
7,00:31:33.794,Pigeon2,pistol,0s,1,1,1,100,200,0.5,false
8,00:31:37.755,Pigeon4,pistol,2.02s,2,1,0.5,100,400,0.25,false
9,00:31:43.337,Pigeon3,pistol,3.626s,3,1,0.333,100,600,0.167,false
10,00:31:44.484,Pigeon2,pistol,0s,1,1,1,100,200,0.5,false
11,00:31:49.613,Pigeon5,pistol,4.068s,3,1,0.333,100,600,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,37,11,1100.0,7400.0,

Kills:,11
Deaths:,0
Fight Time:,44.347
Avg TTK:,0
Damage Done:,1100.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,26
Distance Traveled:,0.0
Score:,110.0
Scenario:,Popcorn Voltaic
Hash:,62908ae6f6639742639b12843d402799
Game Version:,2.0.5.3
Challenge Start:,00:30:49.893
Pause Count:,43
Pause Duration:,101

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,296.879456
Resolution Scale,100.0
