Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:40:21.107,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
2,18:40:27.202,Pigeon,pistol,4.287s,4,1,0.25,100,800,0.125,false
3,18:40:30.998,Pigeon5,pistol,1.496s,2,1,0.5,100,400,0.25,false
4,18:40:34.002,Pigeon2,pistol,1.554s,2,1,0.5,100,400,0.25,false
5,18:40:35.448,Pigeon3,pistol,0s,1,1,1,100,200,0.5,false
6,18:40:36.605,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
7,18:40:42.796,Pigeon2,pistol,4.54s,4,1,0.25,100,800,0.125,false
8,18:40:44.153,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
9,18:40:47.491,Pigeon3,pistol,1.832s,2,1,0.5,100,400,0.25,false
10,18:40:54.685,Pigeon4,pistol,5.844s,4,1,0.25,100,800,0.125,false
11,18:40:57.986,Pigeon3,pistol,1.942s,2,1,0.5,100,400,0.25,false
12,18:41:07.166,Pigeon5,pistol,7.441s,5,1,0.2,100,1000,0.1,false
13,18:41:08.692,Pigeon5,pistol,0s,1,1,1,100,200,0.5,false
14,18:41:15.492,Pigeon,pistol,5.689s,5,1,0.2,100,1000,0.1,false
15,18:41:18.358,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
16,18:41:19.300,Pigeon2,pistol,0s,1,1,1,100,200,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,37,16,1600.0,7400.0,

Kills:,16
Deaths:,0
Fight Time:,34.625
Avg TTK:,0
Damage Done:,1600.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,21
Distance Traveled:,0.0
Score:,160.0
Scenario:,Popcorn Voltaic
Hash:,62908ae6f6639742639b12843d402799
Game Version:,v2.6.1
Challenge Start:,18:40:19.388
Pause Count:,11
Pause Duration:,71

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.072021
Resolution Scale,100.0
