Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:47:37.606,Pigeon3,pistol,1.61s,2,1,0.5,100,400,0.25,false
2,10:47:43.482,Pigeon,pistol,4.388s,4,1,0.25,100,800,0.125,false
3,10:47:45.787,Pigeon2,pistol,1.548s,2,1,0.5,100,400,0.25,false
4,10:47:48.285,Pigeon2,pistol,1.212s,2,1,0.5,100,400,0.25,false
5,10:47:49.863,Pigeon3,pistol,0s,1,1,1,100,200,0.5,false
6,10:47:52.659,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
7,10:47:55.433,Pigeon5,pistol,0s,1,1,1,100,200,0.5,false
8,10:47:58.588,Pigeon5,pistol,1.802s,2,1,0.5,100,400,0.25,false
9,10:48:01.839,Pigeon4,pistol,1.462s,2,1,0.5,100,400,0.25,false
10,10:48:03.258,Pigeon3,pistol,0s,1,1,1,100,200,0.5,false
11,10:48:15.410,Pigeon,pistol,11.161s,7,1,0.143,100,1400,0.071,false
12,10:48:18.970,Pigeon,pistol,1.978s,2,1,0.5,100,400,0.25,false
13,10:48:28.879,Pigeon4,pistol,8.348s,6,1,0.167,100,1200,0.083,false
14,10:48:32.173,Pigeon4,pistol,1.461s,2,1,0.5,100,400,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,36,14,1400.0,7200.0,

Kills:,14
Deaths:,0
Fight Time:,34.970001
Avg TTK:,0
Damage Done:,1400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,22
Distance Traveled:,0.0
Score:,140.0
Scenario:,Popcorn Voltaic
Hash:,62908ae6f6639742639b12843d402799
Game Version:,v2.6.3
Challenge Start:,10:47:34.441
Pause Count:,11
Pause Duration:,164

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,285.936401
Resolution Scale,100.0
