Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:28:34:905,Pigeon,LG,1.65s,37,17,0.459,102,222,0.459,false
2,22:28:37:570,Pigeon,LG,1.562s,35,17,0.486,102,210,0.486,false
3,22:28:41:073,Pigeon,LG,2.755s,61,17,0.279,102,366,0.279,false
4,22:28:43:816,Pigeon,LG,1.881s,42,17,0.405,102,252,0.405,false
5,22:28:46:802,Pigeon,LG,2.204s,49,17,0.347,102,294,0.347,false
6,22:28:48:374,Pigeon,LG,1.377s,31,17,0.548,102,186,0.548,false
7,22:28:51:726,Pigeon,LG,2.478s,55,17,0.309,102,330,0.309,false
8,22:28:54:521,Pigeon,LG,2.514s,35,17,0.486,102,210,0.486,false
9,22:28:57:025,Pigeon,LG,2.256s,41,17,0.415,102,246,0.415,false
10,22:29:00:012,Pigeon,LG,2.645s,48,17,0.354,102,288,0.354,false
11,22:29:01:709,Pigeon,LG,1.24s,28,17,0.607,102,168,0.607,false
12,22:29:02:965,Pigeon,LG,0.734s,17,17,1,102,102,1,false
13,22:29:04:822,Pigeon,LG,1.284s,29,17,0.586,102,174,0.586,false
14,22:29:06:911,Pigeon,LG,1.471s,33,17,0.515,102,198,0.515,false
15,22:29:08:874,Pigeon,LG,1.146s,26,17,0.654,102,156,0.654,false
16,22:29:11:579,Pigeon,LG,2.069s,46,17,0.37,102,276,0.37,false
17,22:29:13:723,Pigeon,LG,1.375s,31,17,0.548,102,186,0.548,false
18,22:29:15:780,Pigeon,LG,1.517s,34,17,0.5,102,204,0.5,false
19,22:29:18:424,Pigeon,LG,2.162s,48,17,0.354,102,288,0.354,false
20,22:29:21:768,Pigeon,LG,2.473s,54,17,0.315,102,324,0.315,false
21,22:29:23:936,Pigeon,LG,1.422s,32,17,0.531,102,192,0.531,false
22,22:29:26:457,Pigeon,LG,1.747s,39,17,0.436,102,234,0.436,false
23,22:29:29:813,Pigeon,LG,3.164s,52,17,0.327,102,312,0.327,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,953,408,2448.0,5718.0,

Kills:,24
Deaths:,0
Fight Time:,45.376999
Avg TTK:,1.891
Damage Done:,2448.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2448.0
Scenario:,LG Pin Practice 360
Hash:,1bd8936343724d18465795b9d93c8ac1
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,150.0
Sens Scale:,Quake/Source
Horiz Sens:,2.0
Vert Sens:,2.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
