Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:56:02:786,target_decay,pistol,0.923s,3,1,0.333,25,150,0.167,false
2,23:56:03:455,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
3,23:56:04:103,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,23:56:04:760,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,23:56:05:414,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,23:56:06:077,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,23:56:12:252,target_decay,pistol,5.459s,7,1,0.143,25,350,0.071,false
8,23:56:14:725,target_decay,pistol,1.749s,3,1,0.333,25,150,0.167,false
9,23:56:15:423,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,23:56:17:022,target_decay,pistol,0.908s,2,1,0.5,25,100,0.25,false
11,23:56:17:755,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,23:56:18:483,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,23:56:19:983,target_decay,pistol,0.795s,2,1,0.5,25,100,0.25,false
14,23:56:21:503,target_decay,pistol,0.805s,2,1,0.5,25,100,0.25,false
15,23:56:25:763,target_decay,pistol,3.582s,5,1,0.2,25,250,0.1,false
16,23:56:28:228,target_decay,pistol,1.704s,3,1,0.333,25,150,0.167,false
17,23:56:36:173,target_decay,pistol,7.211s,9,1,0.111,25,450,0.056,false
18,23:56:43:090,target_decay,pistol,6.225s,8,1,0.125,25,400,0.062,false
19,23:56:51:930,target_decay,pistol,8.121s,10,1,0.1,25,500,0.05,false
20,23:56:52:672,target_decay,pistol,0s,1,1,1,25,50,0.5,false
21,23:56:57:847,target_decay,pistol,4.49s,6,1,0.167,25,300,0.083,false
22,23:57:00:311,target_decay,pistol,1.759s,3,1,0.333,25,150,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,73,22,550.0,3650.0,

Kills:,22
Deaths:,0
Fight Time:,43.731998
Avg TTK:,1.988
Damage Done:,550.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,663.013733
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
